add,count
安徽省合肥市蜀山区红枫路16号,2
安徽省合肥市蜀山区科学大道58号,2
安徽省合肥市蜀山区科学大道58号,6
北京市昌平区,6
北京市昌平区,1
北京市昌平区S216(G6辅路),1
北京市昌平区X026(中东路),1
北京市昌平区龙域东一路,1
北京市昌平区同成街,2
北京市朝阳区,2
北京市朝阳区,1
北京市朝阳区安立路,1
北京市朝阳区北苑路,2
北京市朝阳区东坝路,2
北京市朝阳区东坝路,1
北京市朝阳区公园东十巷64号,1
北京市朝阳区湖光桥,1
北京市朝阳区京通快速路,1
北京市朝阳区林萃路辅路,1
北京市朝阳区民族园路2号-南门,1
北京市朝阳区望京街8号院-3号-1,1
北京市大兴区,1
北京市大兴区黄徐路,1
北京市东城区香河园街1号院-北区-1,9
北京市丰台区,9
北京市丰台区,1
北京市丰台区北京南站路,1
北京市丰台区丰管路甲5号-1,1
北京市丰台区丰科路,1
北京市丰台区丰科路辅路,1
北京市丰台区广安路636号,1
北京市丰台区莲花池东路118号,1
北京市丰台区六圈路18号,12
北京市丰台区南大红门路1号38号楼,12
北京市丰台区南大红门路1号38号楼,2
北京市丰台区南大红门路21号-临时,2
北京市丰台区南大红门路21号-临时,4
北京市丰台区南大红门路临时19号,4
北京市丰台区南大红门路临时19号,1
北京市丰台区南四环西路188号-17区-12,2
北京市丰台区南四环西路188号-17区-5,2
北京市丰台区南四环西路188号-17区-5,1
北京市丰台区南四环西路188号-18区-1,1
北京市丰台区南四环西路辅路,1
北京市丰台区南四环中路,1
北京市丰台区外环西路,1
北京市丰台区西四环南路,1
北京市丰台区西四环南路35-1,1
北京市丰台区西站南路1-1号,79
北京市海淀区,79
北京市海淀区,2
北京市海淀区G7(航天城二桥),2
北京市海淀区G7(航天城二桥),1
北京市海淀区G7(箭亭桥),5
北京市海淀区G7(西二旗桥),5
北京市海淀区G7(西二旗桥),2
北京市海淀区北三环西路31-8号,2
北京市海淀区北三环西路31-8号,1
北京市海淀区北三环西路32号,1
北京市海淀区北三环西路64号,1
北京市海淀区北四环西路辅路,1
北京市海淀区北土城西路103号,1
北京市海淀区北土城西路207号,1
北京市海淀区成府路乙21号,2
北京市海淀区创业路1号,2
北京市海淀区创业路1号,1
北京市海淀区创业路1号9楼,1
北京市海淀区大钟寺东路2号,1
北京市海淀区大钟寺东路9,6
北京市海淀区邓庄南路,6
北京市海淀区邓庄南路,4
北京市海淀区邓庄南路9,4
北京市海淀区邓庄南路9,12
北京市海淀区东北旺路,12
北京市海淀区东北旺路,3
北京市海淀区东北旺路20号,3
北京市海淀区东北旺南路26号,3
北京市海淀区东北旺南路26号,5
北京市海淀区东北旺南路28-2号,5
北京市海淀区东北旺南路28-2号,19
北京市海淀区东北旺南路45号,19
北京市海淀区东北旺南路45号,10
北京市海淀区东北旺西路8号-5号楼-142-、143室,10
北京市海淀区东北旺西路8号-5号楼-142-、143室,1
北京市海淀区东北旺中路,2
北京市海淀区阜成路105号,2
北京市海淀区阜成路105号,1
北京市海淀区阜成路41号,1
北京市海淀区海淀大街17号,1
北京市海淀区海淀南路13号,1
北京市海淀区旱河路辅路,1
北京市海淀区建材城西路,1
北京市海淀区京包路,7
北京市海淀区开拓北路,7
北京市海淀区开拓北路,1
北京市海淀区开拓路甲1号,1
北京市海淀区科学院南路89号,1
北京市海淀区玲珑四巷20号,1
北京市海淀区马甸桥,12
北京市海淀区软件园二号路,12
北京市海淀区软件园二号路,21
北京市海淀区软件园六号路,21
北京市海淀区软件园六号路,2
北京市海淀区软件园一号路,2
北京市海淀区上地东路,2
北京市海淀区上地东路,1
北京市海淀区上地东路43号,1
北京市海淀区上地二街,82
北京市海淀区上地九街,82
北京市海淀区上地九街,10
北京市海淀区上地七街,10
